user,date,text,favorite_count
poisoncarac,Fri Feb 22 12:17:07 +0000 2019,"RT @hinrichfdn: No shortcuts in dealing with China on trade. Read our article by @StephenOlsonHF: https://t.co/mvXP8BRZGq

#tradewar #USChi…",0
brauer_wesley,Fri Feb 22 12:12:55 +0000 2019,"RT @hinrichfdn: No shortcuts in dealing with China on trade. Read our article by @StephenOlsonHF: https://t.co/mvXP8BRZGq

#tradewar #USChi…",0
SpecialSitsDude,Fri Feb 22 11:54:25 +0000 2019,RT @NCUSCR: American and Chinese negotiators are trying to resolve a long-running dispute between semiconductor rivals Micron Technology an…,0
trades_777,Fri Feb 22 11:42:38 +0000 2019,"Forex Market Update:
#forex #forexsignals #forextrader #dollars #tradewar #economy #Currency #investing #market https://t.co/lhNWlm9zVx",0
CEPS_thinktank,Fri Feb 22 11:40:37 +0000 2019,"RT @iw_institute: Debating #tradewar, China-2025 &amp; @Europarl_EN Investment Screening #CEPSlab2019 @CEPS_thinktank. EU remains open, yet #FD…",0
SvobodaAnn,Fri Feb 22 11:32:01 +0000 2019,"So no more Fed rate hikes until growth resumes / #TradeWar ends? 
#CorporateFinance #CFO  https://t.co/8J1lhTrKQL",0
BtNewsmakers,Fri Feb 22 11:29:26 +0000 2019,Plenty of insights about #BorderSecurity #Walls #Migration and their connection with #tariffs #tradewar and #EU #US… https://t.co/oY3Td9GKFO,2
EquidiousSignal,Fri Feb 22 11:23:00 +0000 2019,"Europe’s stock markets are set to end the week near their highest level since October, supported by hopes for a tru… https://t.co/m7RlduUtWm",0
bharturaja,Fri Feb 22 11:22:46 +0000 2019,"RT @bharturaja: #copper .....
1)BDI at 30 months low
2)Backwardation moving towards contango
3)Inventory not at historic lows - doubt if th…",0
GlobalChamAUS,Fri Feb 22 11:18:10 +0000 2019,RT @GlobalChamCLE: Chinese Vice-Premier Liu He handed greater clout for Washington talks in bid to end #tradewar | South #China Morning Pos…,0
zandy7,Fri Feb 22 11:11:59 +0000 2019,"Trump said last year that farmers are ""patriots"" who would ""understand."" https://t.co/8dfhKrUBbN via @HuffPostPol #tradewar",0
DentiRotti,Fri Feb 22 11:03:15 +0000 2019,"RT @TheTradeShop: Factbox: U.S., China drafting memorandums for possible trade deal https://t.co/N00TBvMyP1 #trade #tariffs #tradewar #china",0
wootlovebarca,Fri Feb 22 11:02:59 +0000 2019,"RT @globaltimesnews: .@Tesla felt the heat of the US-China #tradewar last year, pushing it to accelerate construction of its Shanghai assem…",0
richardtaddy,Fri Feb 22 10:58:03 +0000 2019,"RT @globaltimesnews: .@Tesla felt the heat of the US-China #tradewar last year, pushing it to accelerate construction of its Shanghai assem…",0
AugustineIgho,Fri Feb 22 10:49:41 +0000 2019,"RT @globaltimesnews: .@Tesla felt the heat of the US-China #tradewar last year, pushing it to accelerate construction of its Shanghai assem…",0
manojku05742927,Fri Feb 22 10:49:02 +0000 2019,"RT @globaltimesnews: .@Tesla felt the heat of the US-China #tradewar last year, pushing it to accelerate construction of its Shanghai assem…",0
EntShowgun,Fri Feb 22 10:48:21 +0000 2019,"RT @globaltimesnews: .@Tesla felt the heat of the US-China #tradewar last year, pushing it to accelerate construction of its Shanghai assem…",0
ziyadabubeker1,Fri Feb 22 10:41:00 +0000 2019,"RT @globaltimesnews: .@Tesla felt the heat of the US-China #tradewar last year, pushing it to accelerate construction of its Shanghai assem…",0
globaltimesnews,Fri Feb 22 10:40:02 +0000 2019,".@Tesla felt the heat of the US-China #tradewar last year, pushing it to accelerate construction of its Shanghai as… https://t.co/Rw0rOKtBdb",22
TheExchangeEA,Fri Feb 22 10:07:31 +0000 2019,#Kenya and other African states may be able to leverage financing from multiple partners as the #USA and #China riv… https://t.co/iBqLNzxRzt,0
AlBawabaBiz,Fri Feb 22 10:00:05 +0000 2019,New talks to end #tradewar between #US and #China - https://t.co/nGyT8RtfIy https://t.co/1xDztkDgSC,0
iw_institute,Fri Feb 22 09:57:19 +0000 2019,"Debating #tradewar, China-2025 &amp; @Europarl_EN Investment Screening #CEPSlab2019 @CEPS_thinktank. EU remains open, y… https://t.co/wtfbr4miZj",1
BamberMarc,Fri Feb 22 09:53:37 +0000 2019,"RT @bharturaja: #copper .....
1)BDI at 30 months low
2)Backwardation moving towards contango
3)Inventory not at historic lows - doubt if th…",0
KeremTNBMM,Fri Feb 22 09:51:30 +0000 2019,"RT @PalisadeRadio: China, #gold, trade tensions, and the US dollar are all analysed in our interview with @LukeGromen - https://t.co/Ta6avw…",0
PalisadeRadio,Fri Feb 22 09:38:03 +0000 2019,"China, #gold, trade tensions, and the US dollar are all analysed in our interview with @LukeGromen -… https://t.co/TguYOPFeJP",3
bharturaja,Fri Feb 22 09:27:37 +0000 2019,"#copper .....
1)BDI at 30 months low
2)Backwardation moving towards contango
3)Inventory not at historic lows - dou… https://t.co/qfx7Ns0b6U",0
Francesc_Forex,Fri Feb 22 09:20:02 +0000 2019,"Citibank: Most market analysts currently expect to see a 25% tariff on European autos as a “done deal”, sentiment w… https://t.co/9fLGlh7RLT",0
FidelityUKPro,Fri Feb 22 09:15:06 +0000 2019,"Turning away from the uncertainty of the US/China #tradewar, Jeremy Podger on why there are several reasons for che… https://t.co/GARaIIbiDy",0
cfo_innovation,Fri Feb 22 09:13:47 +0000 2019,The# impact of the #technology arms #race between the #US and #China if it takes place https://t.co/gT0m6hnwYX #CFO #tradewar,0
sonoftaiwan,Fri Feb 22 09:11:31 +0000 2019,RT @VoiceofVietnam: @sonoftaiwan @Jkylebass Add $267 Billion #Tariffs on #China products then #TradeWar will become Cold War or World War.…,0
3jprasanth,Fri Feb 22 09:08:50 +0000 2019,RT @Kostian_V: The world’s largest shipping company says a global #tradewar has just begun https://t.co/MV8cEfwSxo,0
TonyNguyenFstOb,Fri Feb 22 09:05:47 +0000 2019,After 5 years since 2013 #Vietnam trade deficit with #China hits $150bn; while Vietnam sees US$7.21bn trade surplus… https://t.co/ZOjBdWKIzj,0
TradersAsset,Fri Feb 22 09:02:41 +0000 2019,"The #USdollar continues to stay range-bound on mixed economic data, such as: orders for durable goods rose; home sa… https://t.co/dYVQLq5oNb",0
MuraliAdhitya,Fri Feb 22 09:02:35 +0000 2019,"Considering the (potential) impact on #Multilateral #Institutions/#Globalization - due to #TradeWar disputes,… https://t.co/2LUSlJCuSk",0
rk4urz,Fri Feb 22 09:01:37 +0000 2019,"RT @rk4urz: Dax pared gains as Germany growth stalls amid Trump TradeWar, #brexit, Italy recession",0
_FinancialWorld,Fri Feb 22 08:53:17 +0000 2019,Report on no-deal Brexit tariffs delayed by Downing Street - The Sun https://t.co/5qv7At2Uql #brexit #policy… https://t.co/dk0CARkO9z,0
_FinancialWorld,Fri Feb 22 08:49:41 +0000 2019,Japan government leaves economy view unchanged as data weakens on... https://t.co/QlEhb3P00v #trade #tradewar… https://t.co/JybkLZ4wCJ,0
_FinancialWorld,Fri Feb 22 08:48:15 +0000 2019,Australia seeks to calm investors over China coal ban https://t.co/qh0AzqCA7A #trade #tradewar #exports #imports… https://t.co/E8D9fXmwtw,0
jennydr17041199,Fri Feb 22 08:45:04 +0000 2019,"The #shippingindustry feels the impact of this #tradewar,especially in the #drybulk market.While there were high… https://t.co/FN7NFytl9R",0
rk4urz,Fri Feb 22 08:37:58 +0000 2019,"Dax pared gains as Germany growth stalls amid Trump TradeWar, #brexit, Italy recession",1
CiciocBogdan,Fri Feb 22 08:31:23 +0000 2019,"RT @MaleehaMBCC: Copper chart impressive....fundamentals are tight even over the past few months of tradewar worries, imagine what would ha…",0
Lazerblue,Fri Feb 22 08:11:48 +0000 2019,"RT @MaleehaMBCC: Copper chart impressive....fundamentals are tight even over the past few months of tradewar worries, imagine what would ha…",0
MaleehaMBCC,Fri Feb 22 08:08:54 +0000 2019,"Copper chart impressive....fundamentals are tight even over the past few months of tradewar worries, imagine what w… https://t.co/EG0GnqhWT7",1
MaleehaMBCC,Fri Feb 22 07:59:36 +0000 2019,"Best way to describe what markets are doing and why...

Imagine a very tight lid being pushed on top of the S&amp;P 500… https://t.co/nt9Au9NFKF",1
1973GJWEcon,Fri Feb 22 07:51:15 +0000 2019,Australia seeks clarification on China coal import 'block' | @scoopit https://t.co/mM8G9aGEO0 #China #Australia #coal #trade #tradewar,0
stahieva,Fri Feb 22 07:43:31 +0000 2019,"RT @mimangour: The massive debt pileup, widening spread between AAA and AA- rated bonds, &amp; record number of bond defaults in #China have ma…",0
kingsparon1973,Fri Feb 22 07:42:30 +0000 2019,"RT @mimangour: #US-China trade deal focuses on tech. transfer &amp; cyber theft, intellectual property rights, services, currency, agriculture…",0
kingsparon1973,Fri Feb 22 07:41:47 +0000 2019,"RT @mimangour: The massive debt pileup, widening spread between AAA and AA- rated bonds, &amp; record number of bond defaults in #China have ma…",0
shahzaddalal,Fri Feb 22 07:41:16 +0000 2019,"$GBPAUD W: Into Range Res. 

$usdx #eurusd #gbpusd #usdcad #audusd #usdjpy #gbpjpy #btc #ETH #rupee #xauusd #usdzar… https://t.co/vEFPypbuyD",3
JayJaySteffen,Fri Feb 22 07:39:01 +0000 2019,"RT @js_research: Forget the Asian theatre of the #tradewar:

Donald Trump has been retraining his aim for some time - and the #EU will prov…",0
a12943890,Fri Feb 22 07:38:53 +0000 2019,"RT @mimangour: #US-China trade deal focuses on tech. transfer &amp; cyber theft, intellectual property rights, services, currency, agriculture…",0
js_research,Fri Feb 22 07:38:29 +0000 2019,"Forget the Asian theatre of the #tradewar:

Donald Trump has been retraining his aim for some time - and the #EU wi… https://t.co/JXE9Fs4tZN",0
a12943890,Fri Feb 22 07:38:12 +0000 2019,"RT @mimangour: The massive debt pileup, widening spread between AAA and AA- rated bonds, &amp; record number of bond defaults in #China have ma…",0
ilyayasenev1,Fri Feb 22 07:37:22 +0000 2019,"RT @mimangour: #US-China trade deal focuses on tech. transfer &amp; cyber theft, intellectual property rights, services, currency, agriculture…",0
